cost_bps,lag,oos_sharpe,oos_cagr
0,0,0.5026801439272836,0.08392191297466667
0,1,0.45438527473647916,0.07633844281962743
0,2,0.5295779324382469,0.08867281726854603
10,0,0.44772132225268896,0.07512483493966804
10,1,0.3990035097241484,0.06747421324745351
10,2,0.47446747483874974,0.07969850524036226
25,0,0.3651132721041638,0.06204307358133243
25,1,0.315683733823164,0.054294630572880864
25,2,0.3913857396788172,0.06635537844104489
50,0,0.22757986490442111,0.04054084702183869
50,1,0.17676921394495032,0.03263697917841224
50,2,0.2524154304679828,0.04442932052209092
