Date,SPY,IWM,EFA,EEM,VNQ,TLT,IEF,LQD,GLD,DBC,SHY
2006-02-06,86.71691131591797,55.08346939086914,33.98710632324219,21.803119659423828,27.023012161254883,47.09114456176758,48.17828369140625,46.93059539794922,56.720001220703125,19.185100555419922,54.47200012207031
2006-02-07,85.9497299194336,54.193546295166016,33.73530578613281,21.231096267700195,26.81050682067871,46.86871337890625,48.12017822265625,46.81232452392578,54.599998474121094,18.630159378051758,54.47879409790039
2006-02-08,86.7306137084961,54.53580093383789,33.85572052001953,21.29709243774414,26.69149398803711,46.760047912597656,48.09115219116211,46.81232452392578,54.83000183105469,18.550880432128906,54.458396911621094
2006-02-09,86.58679962158203,54.254390716552734,33.921409606933594,21.352102279663086,26.81900978088379,46.972164154052734,48.137638092041016,46.886775970458984,56.18000030517578,18.72528839111328,54.444793701171875
2006-02-10,86.74430847167969,54.14030075073242,33.844783782958984,21.319095611572266,26.844493865966797,46.71349334716797,47.99823760986328,46.79915237426758,54.790000915527344,18.3843994140625,54.403961181640625
2006-02-13,86.58679962158203,53.782814025878906,33.60940170288086,20.79326820373535,26.88275718688965,46.718666076660156,47.99823760986328,46.86928939819336,53.720001220703125,18.0989990234375,54.444793701171875
2006-02-14,87.50460815429688,54.406517028808594,33.98162841796875,21.319095611572266,27.031513214111328,46.55317687988281,47.928470611572266,46.821041107177734,54.4900016784668,17.94837188720703,54.444793701171875
2006-02-15,87.81288146972656,54.88571548461914,33.67508316040039,21.20907974243164,27.26952362060547,46.66694641113281,48.01564407348633,46.85174560546875,53.7599983215332,17.686758041381836,54.4379768371582
2006-02-16,88.4704360961914,55.37249755859375,33.99803924560547,21.75912094116211,27.452289581298828,46.67730712890625,47.99241256713867,46.917476654052734,54.52000045776367,17.900806427001953,54.47879409790039
2006-02-17,88.23070526123047,55.25840759277344,33.89951705932617,21.730514526367188,27.745542526245117,47.04972839355469,48.15502166748047,47.07080078125,54.959999084472656,18.154495239257812,54.51967239379883
2006-02-21,88.0114974975586,55.0150146484375,33.90498733520508,21.53911018371582,27.7115535736084,46.972164154052734,48.09698486328125,47.048919677734375,55.119998931884766,18.45574951171875,54.47879409790039
2006-02-22,88.54579162597656,55.38770294189453,34.162261962890625,21.655702590942383,28.021820068359375,47.29291915893555,48.277095794677734,47.22419357299805,55.34000015258789,18.154495239257812,54.51967239379883
2006-02-23,88.41563415527344,55.34966278076172,34.249839782714844,21.649120330810547,27.975069046020508,47.173919677734375,48.16089630126953,47.11901092529297,54.63999938964844,18.09107208251953,54.47200012207031
2006-02-24,88.64167785644531,55.79079818725586,34.36479568481445,21.690921783447266,27.82631492614746,47.101505279541016,48.102813720703125,47.097129821777344,55.63999938964844,18.582592010498047,54.49238967895508
2006-02-27,88.67593383789062,55.94296646118164,34.48521423339844,21.8889217376709,27.83055877685547,47.02391052246094,48.00981140136719,47.07522201538086,55.220001220703125,18.217914581298828,54.46519470214844
2006-02-28,87.8333969116211,55.20515441894531,34.16773223876953,21.319095611572266,27.72856330871582,47.25669479370117,48.20153045654297,47.123443603515625,56.06999969482422,18.46367645263672,54.54004669189453
